,title,rating,pick_or_not,byline,headline,pub_date,open_date
476,The First Saturday in May,PG-13,0,MANOHLA DARGIS,Trying to Get a Glimpse Inside the Sport of Kings,2008-04-18,2008-04-18
477,Expelled: No Intelligence Allowed,PG,0,JEANNETTE CATSOULIS,Resentment Over Darwin Evolves Into a Documentary,2008-04-18,2008-04-18
478,Prom Night,PG-13,0,JEANNETTE CATSOULIS,"Music, Corsages and a Killer",2008-04-12,2008-04-11
479,The Visitor,PG-13,1,A. O. SCOTT,Professor as Student of His Life and Others’,2008-04-11,2008-05-23
480,The Dhamma Brothers,,1,JEANNETTE CATSOULIS,Freedom in Prison,2008-04-11,
481,Smart People,R,1,A. O. SCOTT,"A Disagreeable Academic, and a Tonic Named Sarah Jessica Parker",2008-04-11,2008-04-11
482,The Take,,0,RACHEL SALTZ,Daily Life and Its Disruption,2008-04-11,
483,Never Forever,R,0,STEPHEN HOLDEN,"If You Embrace the Body, the Heart Might Follow",2008-04-11,2008-04-11
484,Dark Matter,,0,STEPHEN HOLDEN,"The Cultural Divide, in Cosmology and Life",2008-04-11,
485,Remember the Daze,R,0,LAURA KERN,Highs and Lows,2008-04-11,
486,Chaos Theory,,0,LAURA KERN,Overcoming Time’s Tyranny,2008-04-11,
487,Bra Boys,R,0,JEANNETTE CATSOULIS,Making a Splash,2008-04-11,
488,Street Kings,R,0,MANOHLA DARGIS,"Bad Cops, but Some Worse Than Others",2008-04-11,2008-04-11
489,Tehilim,,0,JEANNETTE CATSOULIS,"With Man’s Disappearance, a Family Assesses Its Faith",2008-04-10,2008-04-10
490,Young@Heart,PG,1,STEPHEN HOLDEN,"Retired, Yes, but Never Too Old to Rock",2008-04-09,2008-05-23
491,Body of War,Not Rated,0,MANOHLA DARGIS,A Wounded Soldier Turns His Fire on the War,2008-04-09,
492,Stalags,,0,LAURA KERN,Eyeing Pornography That Uses the Holocaust as Titillation,2008-04-09,
493,Campaign,,0,A. O. SCOTT,"Behold a Dark Horse, Bowing to Everyone",2008-04-07,2008-04-11
494,The Ruins,R,0,MATT ZOLLER SEITZ,Watch Out for That Malevolent Jungle Vine,2008-04-05,2008-04-04
495,Tuya's Marriage,,1,STEPHEN HOLDEN,The Deals Made to Go on in a So-Called Simple Life,2008-04-04,
496,Nana,,1,JEANNETTE CATSOULIS,An Unlikely Friendship,2008-04-04,2008-04-04
497,Jellyfish,Not Rated,1,A. O. SCOTT,Navigating a Zigzag Course in a Sea of Relationships,2008-04-04,
498,The Flight of the Red Balloon,Not Rated,1,MANOHLA DARGIS,"Another Balloon Over Paris, With Lives Adrift Below",2008-04-04,
499,Shine a Light,PG-13,1,STEPHEN HOLDEN,"Only Rock ’N’ Roll, but They’re Still at It",2008-04-04,2008-04-04
500,Sex and Death 101,R,0,MANOHLA DARGIS,On the List,2008-04-04,2008-02-22
501,Water Lilies,,0,MANOHLA DARGIS,"Crossing Into the Deep End, Where Desire Is Fathomed",2008-04-04,
502,My Blueberry Nights,PG-13,0,A. O. SCOTT,"On the Road, With Melancholia and a Hankering for Pie and Ice Cream",2008-04-04,
503,Leatherheads,PG-13,0,A. O. SCOTT,"Listen Up, Boys: Break Fizzy and Fake Insouciance",2008-04-04,2008-04-04
504,Nim's Island,PG,0,JEANNETTE CATSOULIS,Missed Adventures,2008-04-04,2008-04-04
505,Roman Polanski: Wanted and Desired,Not Rated,0,MANOHLA DARGIS,"The Judge, the Director and the Vagaries of Justice",2008-03-31,
506,Superhero Movie,Not Rated,0,A. O. SCOTT,"Up, Up and a Ways Off the Track",2008-03-29,2008-03-28
507,Shelter,R,0,JEANNETTE CATSOULIS,Out on the Waves,2008-03-28,
508,Priceless,PG-13,0,STEPHEN HOLDEN,Cherchez le Sugar Daddy (et Sugar Mom),2008-03-28,2008-04-11
509,Hats Off,,0,JEANNETTE CATSOULIS,An Aristocratic Look and a Powerhouse Personality,2008-03-28,
510,A Four Letter Word,Not Rated,0,JEANNETTE CATSOULIS,Good-Natured Raunchiness,2008-03-28,2008-03-28
511,Flawless,PG-13,0,STEPHEN HOLDEN,Cut by a Diamond-Crusted Glass Ceiling,2008-03-28,2008-03-28
512,"Run, Fat Boy, Run",PG-13,0,MATT ZOLLER SEITZ,A Run Does the Trick for a Case of Cold Feet,2008-03-28,2008-03-28
513,Chapter 27,R,0,MATT ZOLLER SEITZ,Tracking an Assassin,2008-03-28,
514,My Brother is an Only Child,R,0,A. O. SCOTT,"My Brother, My Rival: Those Ties That Bind and Chafe",2008-03-28,
515,Backseat,,0,JEANNETTE CATSOULIS,Celebrating Masculine Immaturity,2008-03-28,2008-03-28
516,21,PG-13,0,MANOHLA DARGIS,"With Assist From Greed, Money Makes the Man",2008-03-28,2008-03-28
517,Stop-Loss,R,0,A. O. SCOTT,"Back From Iraq, on a Road Going Nowhere",2008-03-28,2008-03-28
518,The Cool School,,0,MANOHLA DARGIS,"Birth of Los Angeles Art, Assisted by Hip Midwives",2008-03-28,
519,Alexandra,Not Rated,1,MANOHLA DARGIS,"A Widow Roaming the Chechen Front, With Curiosity and History in Tow",2008-03-26,
520,Shotgun Stories,PG-13,0,MATT ZOLLER SEITZ,Half-Brothers Mired in Full-Blown Hate,2008-03-26,2008-03-26
521,Tyler Perry’s Meet the Browns,PG-13,0,A. O. SCOTT,Serving a Buffet of Morality and Humor,2008-03-22,2008-03-21
522,Shutter,PG-13,0,Andy Webster,A Haunting Intruder From the Darkroom,2008-03-22,2008-03-21
523,Poisoned by Polonium: The Litvinenko File,,1,JEANNETTE CATSOULIS,Allegations Against a Government,2008-03-21,
524,Boarding Gate,R,1,MANOHLA DARGIS,"Sex, Blood and Exotica in an Anti-Thriller Thriller",2008-03-21,
525,Irina Palm,R,0,A. O. SCOTT,Escaping a Meek Old Age With an Erotic New Job,2008-03-21,
526,The Hammer,R,0,MATT ZOLLER SEITZ,Working-Class Swagger,2008-03-21,
527,The Grand,R,0,MANOHLA DARGIS,Poker Faces,2008-03-21,
528,Planet B-Boy,Not Rated,0,MATT ZOLLER SEITZ,Break Time,2008-03-21,2008-03-21
529,Drillbit Taylor,PG-13,0,A. O. SCOTT,Protector With Big Shtick for 3 High School Nerds,2008-03-21,2008-03-21
530,Tenichibo to Iganosuke,PG-13,0,JEANNETTE CATSOULIS,"Mother and Son, Divided by Border, United by Phone",2008-03-19,2008-04-04
531,Love Songs,Not Rated,0,A. O. SCOTT,Parisians Singing From Bed to Bed,2008-03-19,
532,Ling Yi Ban,,0,NEIL GENZLINGER,"On Other Side of the World, Life Is Still Upside Down",2008-03-19,2008-03-19
533,Fade,,0,NEIL GENZLINGER,"A Journal of Sleeplessness, Recording a Fatal Illness",2008-03-19,
534,Doomsday,R,0,MATT ZOLLER SEITZ,Confronting a Killer Epidemic That Wouldn’t Die,2008-03-15,2008-03-14
535,Sputnik Mania,,1,MATT ZOLLER SEITZ,When a Satellite Makes a Scene,2008-03-14,
536,Wetlands Preserved,,0,JEANNETTE CATSOULIS,Remembering a Home for Music and Activism,2008-03-14,2008-03-14
537,Heartbeat Detector,,0,MANOHLA DARGIS,When the Ghost in the Machine Is National Socialism,2008-03-14,
538,Funny Games,R,0,A. O. SCOTT,"A Vicious Attack on Innocent People, on the Screen and in the Theater",2008-03-14,
539,Flash Point,R,0,JEANNETTE CATSOULIS,Hong Kong Crime Stories,2008-03-14,
540,War Made Easy: How Presidents and Pundits Keep Spinning Us to Death,,0,JEANNETTE CATSOULIS,Spinning Conflict,2008-03-14,
541,Sleepwalking,R,0,STEPHEN HOLDEN,On the Road to Nowhere in Down-and-Out America,2008-03-14,
542,Never Back Down,PG-13,0,JEANNETTE CATSOULIS,Cliques and Fists,2008-03-14,2008-03-14
543,Dr. Seuss' Horton Hears a Who!,G,0,A. O. SCOTT,Saving Who-Ville Is a Big Production,2008-03-14,2008-03-14
544,Towards Darkness,R,0,LAURA KERN,Romance and Ransom in Colombia,2008-03-14,2008-06-03
545,Poor Boy's Game,R,0,NEIL GENZLINGER,Race and Revenge in Lives of Father and Injured Son,2008-03-13,2008-03-14
546,Meat Loaf: In Search of Paradise,,0,MATT ZOLLER SEITZ,That Dashboard Light Now Casts Its Glow on Nostalgia,2008-03-12,
547,Blind Mountain,,0,MANOHLA DARGIS,Imprisonment and Forced Servitude in Rural China,2008-03-12,2008-03-12
548,Paranoid Park,R,1,MANOHLA DARGIS,"On Ramps and Off, Free-Falling Through Time",2008-03-07,
549,Frownland,,1,MANOHLA DARGIS,Back to When Indies Were Cut-Rate and Gritty,2008-03-07,
550,Girls Rock!,PG,1,JEANNETTE CATSOULIS,Rock ’n’ Roll Camp,2008-03-07,2008-03-07
551,CJ7,PG,1,JEANNETTE CATSOULIS,"Adventures of a Boy, His Dad and His Alien",2008-03-07,
552,Snow Angels,R,0,A. O. SCOTT,Gunshots Underneath a Gray Sky,2008-03-07,
553,Married Life,PG-13,0,STEPHEN HOLDEN,Harry and Pat and Kay and Richard in 1949,2008-03-07,2008-03-28
554,J'entends plus la guitare,,0,A. O. SCOTT,Love May Not Be All You Need After All,2008-03-07,2008-03-07
555,College Road Trip,G,0,JEANNETTE CATSOULIS,A Scream,2008-03-07,2008-03-07
556,"10,000 B.C.",PG-13,0,A. O. SCOTT,Human Civilization: The Prequel,2008-03-07,2008-03-07
557,Miss Pettigrew Lives for a Day,PG-13,0,STEPHEN HOLDEN,Can a Screwball Fable Have an Eye for Detail and a Heart for Fun? Discuss,2008-03-07,2008-03-07
558,The Bank Job,R,0,MANOHLA DARGIS,Tunneling Thieves Strike a Lode of Loot (and Valuable Smut),2008-03-07,2008-03-07
559,Blindsight,PG,1,JEANNETTE CATSOULIS,"Ever Upward, No Matter What",2008-03-05,
560,Jar City,,1,A. O. SCOTT,A Haunting Enigma of Violence and Chaos,2008-02-29,
561,Vivere,R,0,JEANNETTE CATSOULIS,Three Kinds of Emotional Baggage,2008-02-29,
562,The Unforeseen,,0,MANOHLA DARGIS,"In the Heart of Texas, a Greenbelt’s Inconvenient Truth",2008-02-29,
563,Penelope,PG,0,STEPHEN HOLDEN,Cursed With a Face Only a Sow Could Love,2008-02-29,2008-02-29
564,City of Men,R,0,STEPHEN HOLDEN,Fathers and Sons in Gloom Above Rio’s Sunny Beaches,2008-02-29,
565,It's a Free World...,,0,MANOHLA DARGIS,Exploitation’s Wheel Spins in London,2008-02-29,2008-02-29
566,Chicago 10,R,0,A. O. SCOTT,Semi-Animated History of an Animated Time,2008-02-29,
567,Little Chenier,R,0,JEANNETTE CATSOULIS,Brooding on the Bayou,2008-02-29,2008-02-29
568,Bonneville,PG,0,MATT ZOLLER SEITZ,Open Country for Women of a Certain Age,2008-02-29,
569,Beyond Belief,,0,MATT ZOLLER SEITZ,From Ground Zero to Boston,2008-02-29,2008-02-29
570,Semi-Pro,R,0,MATT ZOLLER SEITZ,A Goofball’s Quest: Slam Dunk for Survival,2008-02-29,2008-02-29
571,The Other Boleyn Girl,PG-13,0,MANOHLA DARGIS,Rival Sisters Duke It Out for the Passion of a King,2008-02-29,2008-02-29
572,Chop Shop,Not Rated,1,A. O. SCOTT,"Two Siblings Stuck in a Junkyard World, Struggling to Survive and Dream",2008-02-27,2008-02-27
573,Witless Protection,PG-13,0,MATT ZOLLER SEITZ,"Is He Insane? No, He’s Larry",2008-02-23,2008-02-22
574,The Duchess of Langeais,Not Rated,1,MANOHLA DARGIS,"Behind the Mask of Civility, the Battles Rage On",2008-02-22,
575,The Signal,R,0,MATT ZOLLER SEITZ,Triple Threat,2008-02-22,
576,Cover,PG-13,0,JEANNETTE CATSOULIS,Eden Corrupted,2008-02-22,
577,The Counterfeiters,R,0,A. O. SCOTT,"The Cost of Collusion, Paid in Phony Currency",2008-02-22,2008-04-18
578,Charlie Bartlett,R,0,STEPHEN HOLDEN,High School’s the Same; the Drugs Have Changed,2008-02-22,2008-02-22
579,Vantage Point,PG-13,0,MANOHLA DARGIS,"One Assassination Attempt, a Multitude of Perspectives",2008-02-22,2008-02-22
580,The High School Experience,,0,RACHEL SALTZ,A Muslim and a Hindu. Let’s Dance.,2008-02-16,2008-02-15
581,The Year My Parents Went on Vacation,PG,0,A. O. SCOTT,"A Brazilian Boy, Alone in the Tumult of 1970",2008-02-15,
582,George A. Romero's Diary of the Dead,R,0,MANOHLA DARGIS,Filmmakers Who Become Their Own Zombie Movie,2008-02-15,2008-02-22
583,The 2008 Academy Award Nominated Short Films,,0,STEPHEN HOLDEN,No Mickey Mouse Stuff,2008-02-15,2008-02-15
584,David & Layla,R,0,MATT ZOLLER SEITZ,"Love, Sex, Belly Dancing and Religious Differences",2008-02-15,
585,Step Up 2 The Streets,PG-13,0,MATT ZOLLER SEITZ,"Social Equality Comes With a Beat, Again",2008-02-14,2008-02-14
586,The Spiderwick Chronicles,PG,0,A. O. SCOTT,A House Divided by Old Magic and New Residents,2008-02-14,2008-02-14
587,"Definitely, Maybe",PG-13,0,A. O. SCOTT,How I Met Your Mother: A History Lesson in Love,2008-02-14,2008-02-14
588,Jumper,PG-13,0,MANOHLA DARGIS,Time-Space Continuum? No Big Deal. And the Swag...,2008-02-14,2008-02-14
589,Ezra,,0,STEPHEN HOLDEN,"Innocence Lost, on a Battlefield Somewhere in Africa",2008-02-13,2008-02-13
590,Bab'Aziz: The Prince Who Contemplated His Soul,,1,MATT ZOLLER SEITZ,Family Legends,2008-02-08,
591,A Walk to Beautiful,,0,MATT ZOLLER SEITZ,Healing Cultural Wounds,2008-02-08,
592,Vince Vaughn's Wild West Comedy Show: 30 Days & 30 Nights--Hollywood to the Heartland,R,0,STEPHEN HOLDEN,Sharpshooters of Comedy Hit the Road (Duck!),2008-02-08,2008-02-08
593,How to Rob a Bank,,0,STEPHEN HOLDEN,Stolen Laughs,2008-02-08,
594,London To Brighton,R,0,MANOHLA DARGIS,In a Red Hood and Running From the Wolves of London,2008-02-08,
595,Welcome Home Roscoe Jenkins,PG-13,0,MATT ZOLLER SEITZ,Southern Discomfort for a Hollywood Talk-Show Host,2008-02-08,2008-02-08
596,The Hottie and the Nottie,PG-13,0,JEANNETTE CATSOULIS,"What You See, What You Get",2008-02-08,
597,Fool's Gold,PG-13,0,A. O. SCOTT,"Tropical Pursuit of Love, Coins and No Tan Lines",2008-02-08,2008-02-08
598,In Bruges,R,0,MANOHLA DARGIS,Hit Men on Holiday Get All Medieval,2008-02-08,2008-02-29
599,Strange Wilderness,R,0,MATT ZOLLER SEITZ,"Attention, Slackers: It’s a Jungle Out There",2008-02-02,2008-02-01
600,The Eye,PG-13,0,JEANNETTE CATSOULIS,It’s Enough to Make Anyone Blink,2008-02-02,2008-02-01
601,The Witnesses,,1,STEPHEN HOLDEN,"Mehdi and Sarah and Adrien and Manu, Coupling Under a Cloud",2008-02-01,
602,Praying With Lior,Not Rated,1,JEANNETTE CATSOULIS,An Obsessive Love of Prayer,2008-02-01,2008-02-01
603,"Build a Ship, Sail to Sadness",,0,MATT ZOLLER SEITZ,Spreading Joy With a Mobile Disco,2008-02-01,
604,Caramel,PG,0,A. O. SCOTT,"A Haircut, With an Affair and Highlights of Support",2008-02-01,
605,Live and Become,Not Rated,0,STEPHEN HOLDEN,Digging for Truth in a Life That’s Built Upon a Lie,2008-02-01,2008-02-01
606,Hannah Montana & Miley Cyrus: Best of Both Worlds Concert,G,0,ANDY WEBSTER,Pop in 3-D,2008-02-01,2008-02-01
607,Over Her Dead Body,PG-13,0,A. O. SCOTT,"A Guy, His Psychic and a Jealous Ghost",2008-02-01,2008-02-01
608,The Silence Before Bach,,1,MANOHLA DARGIS,It All Comes Down to (or Looks Up to) Bach,2008-01-30,
609,Meet the Spartans,PG-13,0,JEANNETTE CATSOULIS,Doing Battle on the Field of Parody,2008-01-26,2008-01-25
610,Orthodox Stance,,1,JEANNETTE CATSOULIS,A Spiritual Fight,2008-01-25,2008-01-25
611,"4 Months, 3 Weeks and 2 Days",Not Rated,1,MANOHLA DARGIS,Friend Indeed Who Doesn’t Judge or Flinch,2008-01-25,
612,Alice's House,Not Rated,1,JEANNETTE CATSOULIS,An Overabundance of Hormones,2008-01-25,
613,How She Move,PG-13,0,MATT ZOLLER SEITZ,"Dance, Fight, Laugh, Cry and Read Great Literature",2008-01-25,2008-01-25
614,Lost In Beijing,,0,A. O. SCOTT,"In the City, Relationships Reduced to Transactions",2008-01-25,
615,The Air I Breathe,R,0,STEPHEN HOLDEN,Gangsterism as Allegory for Life’s Basic Themes,2008-01-25,
616,Untraceable,R,0,STEPHEN HOLDEN,"Brutal, Painful Death, Just a Mouse Click Away",2008-01-25,2008-01-25
617,Trailer Park Boys: The Movie,R,0,JEANNETTE CATSOULIS,Comedy on Wheels,2008-01-25,
618,Rambo,R,0,A. O. SCOTT,Just When You Thought It Was Safe to Go Back in the Jungle,2008-01-25,2008-01-25
619,U2 3D,G,1,MATT ZOLLER SEITZ,More Than Rock ’n’ Roll: U2 on Tour in 3-D Images,2008-01-23,2008-02-22
620,Doc,,0,MATT ZOLLER SEITZ,A Writer and Speaker Specializing in Everything,2008-01-23,2008-12-09
621,Taxi to the Dark Side,R,1,A. O. SCOTT,"Taking a Long, Bumpy Ride to Systematic Brutality",2008-01-18,
622,Still Life,Not Rated,1,MANOHLA DARGIS,Those Days of Doom on the Yangtze,2008-01-18,
623,Summer Palace,,1,A. O. SCOTT,Those Chaotic College Years in Beijing,2008-01-18,
624,Day Zero,R,0,STEPHEN HOLDEN,"Suddenly Called to Serve: A Dove, a Hawk and a Loon",2008-01-18,
625,Teeth,R,0,STEPHEN HOLDEN,Things They Don’t Teach in Any Dental School,2008-01-18,
626,Cassandra's Dream,PG-13,0,MANOHLA DARGIS,"In Over Their Heads, With Destiny Looming",2008-01-18,2008-01-18
627,Beaufort,Not Rated,0,A. O. SCOTT,Israeli Soldiers Man a Fortress of Futility,2008-01-18,2008-01-18
628,Mad Money,PG-13,0,STEPHEN HOLDEN,Bank’s Trash Is Treasure for Grabbing,2008-01-18,2008-01-18
629,27 Dresses,PG-13,0,A. O. SCOTT,"Bridesmaid Revisited, Again and Again",2008-01-18,2008-01-18
630,Cloverfield,,0,MANOHLA DARGIS,We’re All Gonna Die! Grab Your Video Camera!,2008-01-18,2008-01-18
631,Opera Jawa,,0,JEANNETTE CATSOULIS,"Unrest, a Love Triangle and Swinging Hips",2008-01-16,2008-01-16
632,In the Name of the King: A Dungeon Siege Tale,PG-13,0,LAURA KERN,Magic and Mayhem From a Video Game,2008-01-12,2008-01-11
633,Times and Winds,,0,STEPHEN HOLDEN,A Youthful Awakening to Mother Nature’s Laws in a Turkish Village,2008-01-11,2008-01-11
634,The Pirates Who Don't Do Anything: A VeggieTales Movie,G,0,NEIL GENZLINGER,"For Values-Based Produce, a Heroic Seafaring Quest",2008-01-11,2008-01-11
635,First Sunday,PG-13,0,A. O. SCOTT,"Mend Your Foolish Ways, Would-Be Church Bandits",2008-01-11,2008-01-11
636,The Bet Collector,,0,MANOHLA DARGIS,Down and Out and Running Numbers in the Rougher Precincts of Manila,2008-01-10,
637,Liberty Kid,,1,JEANNETTE CATSOULIS,Two Drifting Life Rafts on a Sea of Circumstance,2008-01-09,2008-01-09
638,Woman on the Beach,,1,MANOHLA DARGIS,"Him, Her and Him by the Seashore, Balancing Levity and Suffering",2008-01-09,
639,The Business of Being Born,,0,STEPHEN HOLDEN,American Motherhood and the Question of Home Birth,2008-01-09,
640,A Bloody Aria,Not Rated,0,NEIL GENZLINGER,Brutishness Begets Brutishness on the Road,2008-01-07,
641,One Missed Call,PG-13,0,JEANNETTE CATSOULIS,Death Is on the Line; Can You Hear It Now?,2008-01-05,2008-01-04
642,The Killing of John Lennon,,0,STEPHEN HOLDEN,John Lennon’s Death Revisited Through the Words of His Killer,2008-01-02,
643,The Orphanage,R,0,A. O. SCOTT,"The Ghost Down the Hall Is Scary in Spanish, Too",2007-12-28,2008-01-11
644,Honeydripper,PG-13,0,STEPHEN HOLDEN,"Way Down in Harmony, With Mythic Blues Again",2007-12-28,
645,Smiley Face,R,1,MATT ZOLLER SEITZ,"Sunshine Daydream, With Pointed Point of View",2007-12-26,
646,Chuck Close,,1,MATT ZOLLER SEITZ,"Master Portraitist, Writ Large Himself",2007-12-26,
647,There Will Be Blood,R,1,MANOHLA DARGIS,"An American Primitive, Forged in a Crucible of Blood and Oil",2007-12-26,2008-01-25
648,Aliens vs. Predator: Requiem,R,0,NEIL GENZLINGER,Aliens and Predators Still Can’t Seem to Get Along,2007-12-26,2007-12-25
649,Persepolis,PG-13,1,By A.O. SCOTT,"In a Flat World, a Rebel With a Cause",2007-12-25,2008-02-22
650,The Water Horse,PG,0,LAURA KERN,Fearsome Nessie Started Out as a Good Egg and Playmate,2007-12-25,2007-12-25
651,The Great Debaters,PG-13,0,STEPHEN HOLDEN,Leading the Charge to Inspire Underdogs,2007-12-25,2007-12-25
652,The Bucket List,PG-13,0,STEPHEN HOLDEN,"For Geezers Gone Wild, Too Little, Too Late",2007-12-25,2008-01-11
653,Sweeney Todd: The Demon Barber of Fleet Street,R,1,A. O. SCOTT,Murder Most Musical,2007-12-21,2007-12-21
654,Charlie Wilson's War,R,1,A. O. SCOTT,Good-Time Charlie’s Foreign Affairs,2007-12-21,2007-12-21
655,Walk Hard: The Dewey Cox Story,R,0,MANOHLA DARGIS,"Behind the Music, This Time for Laughs",2007-12-21,2007-12-21
656,National Treasure: Book of Secrets,PG,0,MATT ZOLLER SEITZ,"Racing Around the Globe, Solving a History Mystery",2007-12-21,2007-12-21
657,Steep,PG,0,STEPHEN HOLDEN,Talk About Slippery Slopes,2007-12-21,
658,P.S. I Love You,PG-13,0,MANOHLA DARGIS,P.P.S. Take Tissues to This Weepy About a Romance Tested by Death,2007-12-21,2007-12-21
659,The District,,1,MATT ZOLLER SEITZ,A Goofy Scheme to Get the Girl,2007-12-19,2007-12-19
660,Flakes,Not Rated,0,STEPHEN HOLDEN,Cereal as a Metaphor for Capitalism,2007-12-19,
661,The Singing Revolution,Not Rated,1,MATT ZOLLER SEITZ,Songs for a Brighter Tomorrow,2007-12-14,2007-12-01
662,Half Moon,,1,JEANNETTE CATSOULIS,Harsh Realities and Mystical Power,2007-12-14,2007-12-14
663,Youth Without Youth,R,0,MANOHLA DARGIS,The Folks You Meet on the Border Between Consciousness and Dreams,2007-12-14,
664,A Walk into the Sea,,0,A. O. SCOTT,Out of Warhol’s Inner Circle Into the Void,2007-12-14,2007-12-14
665,Look,R,0,MATT ZOLLER SEITZ,Now You See Me,2007-12-14,
666,I Am Legend,PG-13,0,A. O. SCOTT,"Man About Town, and Very Alone",2007-12-14,2007-12-14
667,The Kite Runner,PG-13,0,MANOHLA DARGIS,"From Memories, There’s No Escape",2007-12-14,2008-01-11
668,Alvin and the Chipmunks,PG,0,ANDY WEBSTER,Familiar Faces With a Digital Makeover,2007-12-14,2007-12-14
669,Arranged,,0,JEANNETTE CATSOULIS,Teachers United,2007-12-14,
670,The Perfect Holiday,PG,0,STEPHEN HOLDEN,"For a Single Mother, Mr. Claus Is Mr. Right",2007-12-12,2007-12-12
671,Nanking,R,0,STEPHEN HOLDEN,Giving Testimony on the Horror That Was Nanking,2007-12-12,
672,The Band's Visit,PG-13,1,MANOHLA DARGIS,Strangers in a Land That’s Not So Strange,2007-12-07,2008-03-21
673,The Holy Modal Rounders,,1,JEANNETTE CATSOULIS,A Career Circling Fame and the Drain,2007-12-07,2007-12-07
674,"The Other Side of the Mirror: Bob Dylan Live at the Newport Folk Festival, 1963-65",,1,A. O. SCOTT,"The Young Bob Dylan, Charismatic and Electric",2007-12-07,2007-12-07
675,Grace is Gone,PG-13,1,STEPHEN HOLDEN,Putting Off the Pain of Grief by Starting on a Journey,2007-12-07,
676,'Tis Autumn: The Search for Jackie Paris,,1,JEANNETTE CATSOULIS,A Very Late Comeback,2007-12-07,
677,The Walker,R,0,STEPHEN HOLDEN,"Crimes of the Naïve, Superficial Heart",2007-12-07,
678,Strength and Honor,R,0,LAURA KERN,Passionate Punches,2007-12-07,
679,The Sasquatch Gang,PG-13,0,JEANNETTE CATSOULIS,Big Foot Follies,2007-12-07,
680,Revolver,R,0,MATT ZOLLER SEITZ,"From Jail to Dreamland, With Its Sadist in Briefs",2007-12-07,
681,Dirty Laundry,PG-13,0,MATT ZOLLER SEITZ,With Family,2007-12-07,
682,The Golden Compass,PG-13,0,MANOHLA DARGIS,Bless the Beasts and Children,2007-12-07,2007-12-07
683,Man in the Chair,PG-13,0,STEPHEN HOLDEN,A Devotion to Film Binds Two Loners,2007-12-07,
684,Atonement,R,0,A. O. SCOTT,"Lies, Guilt, Stiff Upper Lips",2007-12-07,2008-01-11
685,Billy the Kid,,1,JEANNETTE CATSOULIS,"About a Boy, His Village and Time in the Spotlight",2007-12-05,
686,Juno,PG-13,1,A. O. SCOTT,Seeking Mr. and Mrs. Right for a Baby on the Way,2007-12-05,2007-12-25
687,El Violin,,0,MANOHLA DARGIS,"Songs in the Street, Revolution in the Air",2007-12-05,
688,Undoing,R,0,MATT ZOLLER SEITZ,"Forget It, Jake, It’s Koreatown",2007-12-05,2007-12-05
689,Aaja Nachle,,0,Rachel Saltz,Come Back to Bollywood,2007-12-01,
690,Awake,R,0,JEANNETTE CATSOULIS,Down but Not Really Out,2007-12-01,2007-11-30
691,The Diving Bell and the Butterfly,PG-13,1,A. O. SCOTT,"Body Unwilling, a Mind Takes Flight",2007-11-30,2008-02-01
692,Tony N' Tina's Wedding,R,0,JEANNETTE CATSOULIS,Here Comes the Bride With Chewing Gum,2007-11-30,
693,Prince Brat and the Whipping Boy,PG,0,A. O. SCOTT,A Hero of Hockey,2007-11-30,
694,Protagonist,R,0,STEPHEN HOLDEN,"Men Behaving Extremely, With True Believers’ Passion",2007-11-30,
695,Oswald's Ghost,,0,MATT ZOLLER SEITZ,Haunted History,2007-11-30,
696,Nina's Heavenly Delights,PG-13,0,JEANNETTE CATSOULIS,Food and Fun,2007-11-30,2007-11-21
697,Chronicle of an Escape,R,0,STEPHEN HOLDEN,A Soccer Player’s Ordeal in an Argentine Prison,2007-11-30,
698,Badland,R,0,MATT ZOLLER SEITZ,"A War Hero’s Terror, Tragedy and Rescue",2007-11-30,
699,Be My Oswald,,0,JEANNETTE CATSOULIS,Christmas Is Almost Here and Santa Is in Her Sights,2007-11-29,2007-11-30
700,The Savages,R,1,MANOHLA DARGIS,"Stuck on a Family Hamster Wheel, Mile After Mile, Year After Year",2007-11-28,2008-02-01
701,65 Revisited,,0,MANOHLA DARGIS,"Back to ‘Don’t Look Back,’ This Time With Dylan’s Songs in the Spotlight",2007-11-28,
702,Starting Out in the Evening,PG-13,1,A. O. SCOTT,A Scholarly May and a Literary December Meet in a New York Autumn,2007-11-23,
703,He Was a Quiet Man,,0,STEPHEN HOLDEN,Warning: This Worm Wears a Suit,2007-11-23,
704,Who Is Norman Lloyd,,0,MATT ZOLLER SEITZ,"Surviving Hitch, Welles and Time",2007-11-23,0000-00-00
705,Midnight Eagle,,0,MATT ZOLLER SEITZ,A Fallen Plane Is Loaded With Tensions,2007-11-23,
706,Everything's Cool,,0,STEPHEN HOLDEN,A Cold Look at Warming Mixes Pep and Despair,2007-11-23,
707,I'm Not There,R,1,A. O. SCOTT,"Another Side of Bob Dylan, and Another, and Another ...",2007-11-21,2007-12-07
708,Enchanted,PG,1,MANOHLA DARGIS,"Someday My Prince Will ... Uh, Make That a Manhattan Lawyer",2007-11-21,2007-11-21
709,Yiddish Theater: A Love Story,,0,JEANNETTE CATSOULIS,Fight to Keep a Language on the Stage,2007-11-21,
710,The Mist,R,0,MANOHLA DARGIS,"Something Creepy This Way Creeps, and It Spells Bad News",2007-11-21,2007-11-21
711,Hitman,R,0,MANOHLA DARGIS,"Slaughter on Parade, Without Joystick",2007-11-21,2007-11-21
