,byline,headline,open_date,pick_or_not,pub_date,rating,title
1386,NEIL GENZLINGER,Review: ‘Poached’ Explores Collectors Who Steal Rare Birds’ Eggs,,0,2015-10-08,PG-13,Poached
1387,A. O. SCOTT,Review: ‘Pan’ Proposes Peter and Captain Hook’s Origin Stories,2015-10-09,0,2015-10-08,PG,Pan
1388,NICOLAS RAPOLD,"Review: In Takashi Miike’s ‘Yakuza Apocalypse,’ Blood and Fur Flies",2015-10-09,0,2015-10-08,R,Yakuza Apocalypse
1389,NEIL GENZLINGER,"Review: In ‘Reversion,’ Memories and Motives Fuel Thriller",,0,2015-10-08,,Reversion
1390,ANDY WEBSTER,"Review: In ‘Dukhtar,’ a Mother and Daughter’s Dangerous Dash for Freedom",2015-10-09,0,2015-10-08,,Dukhtar
1391,JEANNETTE CATSOULIS,"Review: ‘A Woman Like Me,’ About Grappling With Terminal Illness",2015-10-09,0,2015-10-08,,A Woman Like Me
1392,HELEN T. VERONGOS,Review: ‘A Faster Horse’ Tells the Ford Mustang’s Story,2015-10-08,0,2015-10-08,Not Rated,A Faster Horse
1393,KEN JAWOROWSKI,Review: ‘(T)error’ Documentary Follows an Informant in an F.B.I. Inquiry,2015-10-08,0,2015-10-06,,(T)error
1394,STEPHEN HOLDEN,"Review: In ‘The Forbidden Room,’ a Submarine Full of Dark Imagery",,0,2015-10-06,,The Forbidden Room
1395,RACHEL SALTZ,"Review: ‘Talvar,’ With Irrfan Khan, Depicts a Double Murder’s Muddied Waters",2015-10-02,0,2015-10-04,,Talvar
1396,MANOHLA DARGIS,"Review: In ‘The Martian,’ Marooned but Not Alone",2015-10-02,1,2015-10-01,PG-13,The Martian
1397,A. O. SCOTT,"Review: In ‘Taxi,’ a Filmmaker Pushes Against Iranian Censorship From Behind the Wheel",,1,2015-10-01,,Jafar Panahi's Taxi
1398,JEANNETTE CATSOULIS,Review: ‘This Changes Everything’ Sweetly Confronts Climate Change,,0,2015-10-01,,This Changes Everything
1399,NICOLAS RAPOLD,"Review: ‘Taken by Storm,’ About the Mind Behind a Design",,0,2015-10-01,,Taken By Storm: The Art of Storm Thorgerson and Hipgnosis
1400,ANITA GATES,"Review: ‘Shout Gladi Gladi,’ on the Fight to Curb Fistula",2015-10-02,0,2015-10-01,,Shout Gladi Gladi
1401,KEN JAWOROWSKI,Review: ‘Sherpa’ Delves Into a Risky Profession,,0,2015-10-01,,Sherpa
1402,HELEN T. VERONGOS,"Review: ‘Partisan,’ Training Assassins Without a Cause",2015-10-02,0,2015-10-01,,Partisan
1403,JEANNETTE CATSOULIS,Review: ‘Northern Soul’ Shows ’70s England Through a Music Lens,,0,2015-10-01,R,Northern Soul
1404,GLENN KENNY,"Review: In ‘Shanghai,’ John Cusack Is a Naval Intelligence Operative in a Bind",2015-10-02,0,2015-10-01,R,Shanghai
1405,MANOHLA DARGIS,"Review: In ‘Freeheld,’ a Dying Detective Fights for Gay Rights",,0,2015-10-01,PG-13,Freeheld
1406,ANITA GATES,"Review: In ‘Deathgasm,’ Listening to Heavy Metal Has Nasty Consequences",2015-10-02,0,2015-10-01,Not Rated,Deathgasm
1407,NEIL GENZLINGER,"Review: ‘He Named Me Malala,’ on a Taliban Target and Nobel Laureate",,0,2015-10-01,PG-13,He Named Me Malala
1408,A. O. SCOTT,Review: ‘Brand: A Second Coming’ Allows a Comedian to Be Serious,2015-10-09,0,2015-10-01,R,Brand: A Second Coming
1409,GLENN KENNY,"Review: ‘A Christmas Horror Story,’ for the Gory Faithful",2015-10-02,0,2015-10-01,,A Christmas Horror Story
1410,NEIL GENZLINGER,"‘Addicted to Fresno,’ a Comedy of Codependent Sisters",,0,2015-10-01,Not Rated,Addicted to Fresno
1411,STEPHEN HOLDEN,"Review: In ‘Labyrinth of Lies,’ the Frankfurt Auschwitz Trials Break a Conspiracy of Silence",,0,2015-09-29,R,Labyrinth of Lies
1412,A. O. SCOTT,Review: ‘The Walk’ Captures High-Wire Bravado at World Trade Center,2015-10-09,1,2015-09-26,PG,The Walk
1413,STEPHEN HOLDEN,Review: The Good Old Tasteless Days in ‘Drunk Stoned Brilliant Dead’,2015-09-25,1,2015-09-24,,Drunk Stoned Brilliant Dead: The Story of the National Lampoon
1414,A. O. SCOTT,Review: ‘Mississippi Grind’ Keeps Its Cards Close,,1,2015-09-24,R,Mississippi Grind
1415,NEIL GENZLINGER,Review: ‘Mission to Lars’ Follows Siblings’ Quest to Fulfill Their Disabled Brother’s Dream,2015-09-25,1,2015-09-24,,Mission to Lars
1416,JEANNETTE CATSOULIS,Review: ‘Finders Keepers’ Finds Humor and Humanity in the Bizarre,2015-09-25,1,2015-09-24,R,Finders Keepers
1417,A. O. SCOTT,"In ‘99 Homes,’ a Man Buffeted and Then Manipulated in Florida’s Foreclosure Disaster",2015-10-09,1,2015-09-24,R,99 Homes
1418,DANIEL M. GOLD,Review: ‘Wildlike’ Pits a Teenage Girl Against the Alaskan Wilderness,2015-09-25,0,2015-09-24,,Wildlike
1419,MANOHLA DARGIS,"Review: In ‘The Intern,’ She’s the Boss, but He’s the Star",2015-09-25,0,2015-09-24,PG-13,The Intern
1420,HELEN T. VERONGOS,"Review: ‘Lost in Hong Kong’ Is Part Music Video, Part Buddy Film",,0,2015-09-24,,Lost In Hong Kong
1421,NICOLAS RAPOLD,"Review: In ‘The Keeping Room,’ 3 Women Under Siege in the Civil War",2015-09-25,0,2015-09-24,R,The Keeping Room
1422,NEIL GENZLINGER,"Review: In ‘The Green Inferno,’ Eli Roth Turns Collegians Into Prey",2015-09-25,0,2015-09-24,R,The Green Inferno
1423,NICOLAS RAPOLD,"Review: In ‘Sleepless in New York,’ the Misery of the Lovelorn",2015-09-25,0,2015-09-24,,Sleepless in New York
1424,JEANNETTE CATSOULIS,"Review: In ‘Pay the Ghost,’ Nicolas Cage Is on a Mission",2015-09-25,0,2015-09-24,Not Rated,Pay the Ghost
1425,MANOHLA DARGIS,"Review: In ‘Misunderstood,’ a Girl Seeks Relief From a Turbulent Household",,0,2015-09-24,Not Rated,Misunderstood
1426,GLENN KENNY,"Review: In ‘Hotel Transylvania 2,’ Dracula Yearns for a Little Monster of a Grandson",2015-09-25,0,2015-09-24,PG,Hotel Transylvania 2
1427,KEN JAWOROWSKI,Review: ‘Becoming Bulletproof’ Follows a Group of Disabled Adults in a Film Within a Film,,0,2015-09-24,,Becoming Bulletproof
1428,STEPHEN HOLDEN,Review: ‘Ashby’ Pairs a Retired C.I.A. Killer With a High School Nerd,2015-09-25,0,2015-09-24,R,Ashby
1429,KEN JAWOROWSKI,"Review: ‘A Brave Heart: The Lizzie Velasquez Story,’ One Woman’s Push for Acceptance",2015-09-25,0,2015-09-24,PG-13,A Brave Heart: The Lizzie Velasquez Story
1430,STEPHEN HOLDEN,Review: ‘Stonewall’ Doesn’t Distinguish Between Facts and Fiction,2015-09-25,0,2015-09-24,R,Stonewall
1431,NEIL GENZLINGER,Review: ‘Uncle John’ Is Steeped in Secrets,2015-09-18,1,2015-09-17,,Uncle John
1432,DANIEL M. GOLD,Review: ‘The Man Who Saved the World’ Recounts a Cold War Near Miss,2015-09-18,1,2015-09-17,,The Man Who Saved the World
1433,JEANNETTE CATSOULIS,Review: ‘Racing Extinction’ Charts the Slaughter of Vital Species,2015-09-18,1,2015-09-17,,Racing Extinction
1434,MIKE HALE,"Review: In ‘Veteran,’ an ’80s Cop Comedy Vibe From South Korea",2015-09-18,1,2015-09-17,,Veteran
1435,STEPHEN HOLDEN,"Review: In ‘The New Girlfriend,’ a Widower’s Secret Life Is Revealed",2015-09-18,1,2015-09-17,R,The New Girlfriend
1436,MANOHLA DARGIS,"Review: In ‘Office’ by Johnnie To, Ups and Downs of Business",,1,2015-09-17,,Office
1437,DANIEL M. GOLD,Review: ‘Songs From the North’ Works to Understand a People and Their Country,2015-09-18,0,2015-09-17,,Songs from the North
1438,HELEN T. VERONGOS,"Review: ‘Some Kind of Hate,’ a Bullying-Revenge Slasher Tale",2015-09-18,0,2015-09-17,,Some Kind of Hate
1439,A. O. SCOTT,Review: ‘Sicario’ Digs Into the Depths of Drug Cartel Violence,2015-10-02,0,2015-09-17,R,Sicario
1440,MANOHLA DARGIS,"Review: ‘Prophet’s Prey,’ a Documentary About Mormon Fundamentalists",2015-09-18,0,2015-09-17,,Prophet's Prey
1441,NICOLE HERRINGTON,Review: ‘Olvidados’ Revisits Rightist Terror in South America,2015-09-18,0,2015-09-17,,Olvidados
1442,JOHN WILLIAMS,Review: ‘Maze Runner: The Scorch Trials’ Pits Hardy Teenagers Against a Mysterious Organization,2015-09-18,0,2015-09-17,PG-13,Maze Runner: The Scorch Trials
1443,KEN JAWOROWSKI,Review: ‘Hellions’ Reminds Us That Halloween Isn’t About the Candy,,0,2015-09-17,Not Rated,Hellions
1444,A. O. SCOTT,Review: ‘Everest’ Revisits a Fateful Adventure in 3-D   ,2015-09-25,0,2015-09-17,PG-13,Everest
1445,NEIL GENZLINGER,"Review: ‘Cooties,’ Back to School With Zombies and Gore",2015-09-18,0,2015-09-17,R,Cooties
1446,NEIL GENZLINGER,"Review: ‘Bonobos: Back to the Wild,’ a Sanctuary’s Rehab Mission",2015-07-24,0,2015-09-17,,Bonobos: Back to the Wild
1447,A. O. SCOTT,"Review: In ‘Black Mass,’ Johnny Depp Is the Dead-Eyed Killer Whitey Bulger",2015-09-18,0,2015-09-17,R,Black Mass
1448,KEN JAWOROWSKI,Review: ‘Tired Moonlight’ Quietly Paints a Picture of Small-Town Life,,0,2015-09-16,,Tired Moonlight
1449,STEPHEN HOLDEN,Review: ‘The Fool’ Is Yuri Bykov’s Look at Corruption,2015-09-16,1,2015-09-15,,The Fool
1450,NEIL GENZLINGER,"Review: ‘Pawn Sacrifice,’ Another Take on the Royal Game",2015-09-25,1,2015-09-15,PG-13,Pawn Sacrifice
1451,BEN KENIGSBERG,Review: ‘Peace Officer’ Explores Military-Style Raids by Law Enforcement,,0,2015-09-15,,Peace Officer
1452,NEIL GENZLINGER,"Review: In &#8216;The Perfect Guy,&#8217; a Stalker Is Stirred",2015-09-11,0,2015-09-11,PG-13,The Perfect Guy
1453,JEANNETTE CATSOULIS,Review: Twin Terrors Haunt &#8216;Goodnight Mommy&#8217;,2015-09-11,1,2015-09-10,R,Goodnight Mommy
1454,RACHEL SALTZ,Review: &#8216;Paul Taylor: Creative Domain&#8217; Shows a Choreographer at Work,2015-09-11,1,2015-09-10,,Paul Taylor: Creative Domain
1455,MANOHLA DARGIS,Review: &#8216;The Visit&#8217; Is &#8216;Hansel and Gretel&#8217; With Less Candy and More Camcorders,2015-09-11,0,2015-09-10,PG-13,The Visit
1456,DANIEL M. GOLD,"Review: &#8216;The Moving Creatures,&#8217; Three Tales of Family Ordeals",2015-08-11,0,2015-09-10,,The Moving Creatures
1457,HELEN T. VERONGOS,Review: &#8216;The Beauty Inside&#8217; Features 123 Actors for One Leading Man,2015-09-11,0,2015-09-10,,The Beauty Inside
1458,ANDY WEBSTER,"Review: &#8216;Listening,&#8217; a World Where Your Thoughts Are Not Your Own",2015-09-11,0,2015-09-10,,Listening
1459,MANOHLA DARGIS,"Review: In &#8216;Sleeping With Other People,&#8217; Star-Crossed Sex Addicts Make a Pact",,0,2015-09-10,R,Sleeping With Other People
1460,ANDY WEBSTER,"Review: In &#8216;Meet the Patels,&#8217; a Son Submits to a Marriage Quest",2015-09-11,0,2015-09-10,PG,Meet the Patels
1461,STEPHEN HOLDEN,"Review: &#8216;Breathe,&#8217; the Story of a Scary Teenage Romance",2015-09-11,0,2015-09-10,,Breathe
1462,BEN KENIGSBERG,"Review: Annaud&#8217;s &#8216;Wolf Totem,&#8217; Set in Inner Mongolia in the 1960s",,0,2015-09-10,PG-13,Wolf Totem
1463,STEPHEN HOLDEN,Review: &#8216;A Brilliant Young Mind&#8217; Facing Infinite Obstacles,2015-09-11,0,2015-09-10,PG-13,A Brilliant Young Mind
1464,NICOLAS RAPOLD,"Review: &#8216;90 Minutes in Heaven,&#8217; Then a Long Road Back",2015-09-11,0,2015-09-10,PG-13,90 Minutes in Heaven
1465,A. O. SCOTT,"Review: Richard Gere in &#8216;Time Out of Mind,&#8217; a Life Adrift on the Margins",,1,2015-09-08,,Time Out of Mind
1466,STEPHEN HOLDEN,"Review: &#8216;Welcome to Leith,&#8217; a Documentary About a Town Fighting a Racist Takeover",,0,2015-09-08,,Welcome to Leith
1467,A. O. SCOTT,"Review: In &#8216;Coming Home,&#8217; a Family Rocked by the Cultural Revolution",,0,2015-09-08,PG-13,Coming Home
1468,STEPHEN HOLDEN,"Review: In ‘La Jaula de Oro,’ Riding the Rails to Reach New Lives",,1,2015-09-03,,The Golden Dream
1469,STEPHEN HOLDEN,"Review: In &#8216;Blind,&#8217; Perception and Fantasy Converge in a Writer&#8217;s Mind",2015-09-04,1,2015-09-03,,Blind
1470,ANDY WEBSTER,"In ‘A Sinner in Mecca,’ a Gay Director Ponders His Sexuality and Islamic Faith",,1,2015-09-03,,A Sinner in Mecca
1471,BEN KENIGSBERG,Review: ‘The Transporter Refueled’ Has a New Guy Behind the Wheel,2015-09-04,0,2015-09-03,PG-13,The Transporter Refueled
1472,ANDY WEBSTER,Review: In &#8216;Contracted: Phase II&#8217; Misfortune Multiples an Encounter at a Time,2015-09-04,0,2015-09-03,Not Rated,Contracted: Phase II
1473,BEN KENIGSBERG,"Review: In Chris Evans’s ‘Before We Go,’ a Chance Encounter With Staying Power",,0,2015-09-03,PG-13,Before We Go
1474,MANOHLA DARGIS,"Review: ‘Dragon Blade’ Features Jackie Chan, Romans and a Lot of Mayhem",2015-09-04,0,2015-09-03,R,Dragon Blade
1475,NICOLAS RAPOLD,"Review: ‘Dirty Weekend,’ Neil LaBute’s Tale of an Unexpected Layover",2015-09-04,0,2015-09-03,,Dirty Weekend
1476,NICOLAS RAPOLD,"Review: Different Thinking About Steve Jobs, the Man Behind Apple",,0,2015-09-03,R,Steve Jobs: The Man in the Machine
1477,DANIEL M. GOLD,"Review: ‘Chloe &amp; Theo,’ a Climate-Change Movie With Rising Levels of Simplicity",,0,2015-09-03,PG-13,Chloe & Theo
1478,A. O. SCOTT,Review: &#8216;The Black Panthers&#8217; Captures a Militant Movement&#8217;s Soul and Swagger,,1,2015-09-01,,The Black Panthers: Vanguard of the Revolution
1479,ANDY WEBSTER,"Review: &#8216;Creep,&#8217; a Horror Film With the Look of Found Footage",2015-06-23,0,2015-09-01,R,Creep
1480,MANOHLA DARGIS,"Review: &#8216;A Walk in the Woods,&#8217; With Robert Redford, Is a Scenic Trek Spoiled",2015-09-02,0,2015-09-01,R,A Walk in the Woods
1481,HELEN T. VERONGOS,"Review: ‘My Voice, My Life,’ a Story of Hong Kong Student Actors",2015-08-28,1,2015-08-27,,"My Voice, My Life"
1482,JEANNETTE CATSOULIS,"Review: In &#8216;Z for Zachariah,&#8217; an End-of-Days Love Triangle",2015-08-28,1,2015-08-27,PG-13,Z for Zachariah
1483,ANDY WEBSTER,Review: &#8216;Zipper&#8217; Stars Patrick Wilson as a Sex Addict,2015-08-28,0,2015-08-27,R,Zipper
1484,ANDY WEBSTER,Review: Korean Warriors Seek Vengeance in &#8216;Memories of the Sword&#8217;,2015-08-28,0,2015-08-27,,Memories of the Sword
1485,NICOLAS RAPOLD,"Review: &#8216;I Touched All Your Stuff,&#8217; a Documentary About a Technician&#8217;s Story",2015-08-28,0,2015-08-27,,I Touched All Your Stuff
1486,A. O. SCOTT,Review: In ‘When Animals Dream’ a Teenager’s Secret Is a Revelation Even to Her,,0,2015-08-27,R,When Animals Dream
1487,ANDY WEBSTER,"Review: In ‘Unsullied,’ a Competitive Racer Must Run for Her Life",2015-08-28,0,2015-08-27,R,Unsullied
1488,BEN KENIGSBERG,"Review: In &#8216;The Second Mother,&#8217; a Guest Flouts Boundaries",2015-08-28,0,2015-08-27,R,The Second Mother
1489,DANIEL M. GOLD,"Review: &#8216;Fever,&#8217; a French Tale of High School Homicide and Consequences",2015-08-28,0,2015-08-27,,Fever
1490,NICOLE HERRINGTON,"Review: In ‘We Are Your Friends,’ Angelenos Long for Life Beyond the Valley",2015-08-28,0,2015-08-27,R,We Are Your Friends
1491,JEANNETTE CATSOULIS,"Review: &#8216;7 Chinese Brothers,&#8217; a Slacker Comedy Starring Jason Schwartzman and His Dog",,0,2015-08-27,,7 Chinese Brothers
1492,MANOHLA DARGIS,Review: Elisabeth Moss at All Angles in &#8216;Queen of Earth&#8217;,,1,2015-08-25,Not Rated,Queen of Earth
1493,DANIEL M. GOLD,"Review: &#8216;No Escape,&#8217; Starring Owen Wilson as a Man in the Cross Hairs",2015-08-26,0,2015-08-25,R,No Escape
1494,A. O. SCOTT,Review: &#8216;The Iron Ministry&#8217; Uses Train Passengers to Tell China&#8217;s Story,2015-08-21,1,2015-08-20,,The Iron Ministry
1495,STEPHEN HOLDEN,Review: &#8216;Learning to Drive&#8217; Charts a Culture-Bridging Friendship,2015-08-21,1,2015-08-20,R,Learning to Drive
1496,STEPHEN HOLDEN,"Review: In &#8216;Youth,&#8217; Strains of Family and Country Fall on Brothers&#8217; Shoulders",2015-08-21,1,2015-08-20,,Youth
1497,JEANNETTE CATSOULIS,"Review: In &#8216;Guidance,&#8217; a High School Counselor as a Rotten Role Model",2015-08-21,1,2015-08-20,,Guidance
1498,ANITA GATES,"&#8216;Searching for Home,&#8217; a Cross-Generational Look at Military Veterans",2015-08-21,0,2015-08-20,,Searching For Home: Coming Back From War
1499,STEPHEN HOLDEN,Review: &#8216;Some Kind of Beautiful&#8217; Stars Pierce Brosnan as a Serial Seducer,2015-08-21,0,2015-08-20,R,Some Kind Of Beautiful
1500,JEANNETTE CATSOULIS,Review: &#8216;She&#8217;s Funny That Way&#8217; Offers Tomfoolery Amid the Floodlights,2015-08-21,0,2015-08-20,Not Rated,She's Funny That Way
1501,JEANNETTE CATSOULIS,"Review: Rupert Friend and Zachary Quinto in a Pas de Bullets, &#8216;Hitman: Agent 47&#8217;",2015-08-21,0,2015-08-20,R,Hitman: Agent 47
1502,ANDY WEBSTER,"Review: In &#8216;The Boy,&#8217; an Unnerving 9-Year-Old Makes His Move",,0,2015-08-20,Not Rated,The Boy
1503,ANDY WEBSTER,"Review: In &#8216;Sinister 2,&#8217; a Murderous Being Returns for More Mayhem",2015-08-21,0,2015-08-20,R,Sinister 2
1504,NEIL GENZLINGER,"Review: In &#8216;American Ultra,&#8217; Jesse Eisenberg Is a Stoner and a Target",2015-08-21,0,2015-08-20,R,American Ultra
1505,NICOLAS RAPOLD,Review: Hapless Brothers and Their Lovers Intersect in &#8216;The Mend&#8217;,2015-08-21,0,2015-08-20,,The Mend
1506,A. O. SCOTT,"Review: &#8216;Digging for Fire,&#8217; a Comedy by Joe Swanberg",2015-08-21,0,2015-08-20,R,Digging for Fire
1507,ANDY WEBSTER,Review: &#8216;Being Evel&#8217; Examines the Life of a Notorious Stuntman,,0,2015-08-20,,Being Evel
1508,NEIL GENZLINGER,Review: A Despairing Librarian Is Ready to Check Out in &#8216;After Words&#8217;,2015-08-21,0,2015-08-20,,After Words
1509,A. O. SCOTT,"Review: In ‘Grandma,’ Lily Tomlin Energizes an Intergenerational Road Trip",2015-09-18,1,2015-08-19,R,Grandma
1510,DANIEL M. GOLD,"Review: In &#8216;Slow Learners,&#8217; Aspirational Hedonists Doff Their Glasses",2015-08-19,0,2015-08-18,,Slow Learners
1511,BEN KENIGSBERG,Review: &#8216;Beltracchi: The Art of Forgery&#8217; Tells How a Swindler Fooled the World,,0,2015-08-18,,Beltracchi: The Art of Forgery
1512,RACHEL SALTZ,"Review: &#8216;Brothers ... Blood Against Blood,&#8217; Set in the Mean Streets of Mumbai",2015-08-14,0,2015-08-14,,Brothers...Blood Against Blood
1513,BEN KENIGSBERG,Review: &#8216;We Come as Friends&#8217; Explores Potential Exploitation of South Sudan,2015-08-14,1,2015-08-13,,We Come as Friends
1514,NEIL GENZLINGER,"Review: &#8216;Ten Thousand Saints,&#8217; a Coming of Age in the East Village, Circa 1980s",2015-08-14,1,2015-08-13,R,"10,000 Saints"
1515,DANIEL M. GOLD,"Review: &#8216;Rosenwald,&#8217; on a Philanthropist Who Created Schools for Blacks in the Jim Crow South",2015-08-14,1,2015-08-13,,Rosenwald
1516,STEPHEN HOLDEN,"Review: ‘Mistress America,’ a Noah Baumbach Comedy on Getting By in a Backbiting World",2015-08-14,1,2015-08-13,R,Mistress America
1517,JEANNETTE CATSOULIS,Review: &#8216;Meru&#8217; Follows an Expedition Up Shark&#8217;s Fin Peak in the Himalayas,2015-08-14,1,2015-08-13,R,Meru
1518,STEPHEN HOLDEN,"Review: In &#8216;Tom at the Farm,&#8217; Psychosexual Games Down at the Farm",2015-08-14,1,2015-08-13,Not Rated,Tom at the Farm
1519,MANOHLA DARGIS,"Review: In &#8216;The Great Man,&#8217; Friendship and Politics in a War Zone",,1,2015-08-13,,The Great Man
1520,ANDY WEBSTER,"Review: &#8216;Fort Tilden,&#8217; a Comic Odyssey to the Beach",2015-08-14,1,2015-08-13,R,Fort Tilden
1521,MANOHLA DARGIS,"Review: &#8216;The Man From U.N.C.L.E.&#8217; Resurrects a Glossy, Action-Packed &#8217;60s",2015-08-14,0,2015-08-13,PG-13,The Man from U.N.C.L.E.
1522,KEN JAWOROWSKI,Review: &#8216;Tango Negro&#8217; Explores the Roots of a Dance and Musical Genre,,0,2015-08-13,,Tango Negro:The African Roots of Tango
1523,NEIL GENZLINGER,"Review: In &#8216;Return to Sender,&#8217; Rosamund Pike Connects With Her Attacker",2015-08-14,0,2015-08-13,,Return to Sender
1524,STEPHEN HOLDEN,"Review: In ‘People Places Things,’ Jemaine Clement Navigates Life as a Newly Single Dad",2015-08-14,0,2015-08-13,R,"People, Places & Things"
1525,ANDY WEBSTER,"Review: In &#8216;Big Sky,&#8217; Starring Bella Thorne, Mortal Fears Collide",2015-08-14,0,2015-08-13,,Big Sky
1526,KEN JAWOROWSKI,"Review: In &#8216;Air,&#8217; Norman Reedus and Djimon Hounsou Keep Hope, and Themselves, Alive",2015-08-14,0,2015-08-13,PG-13,Air
1527,NICOLAS RAPOLD,"Review: &#8216;How to Smell a Rose,&#8217; Ricky Leacock at His French Farmhouse",,0,2015-08-11,,How to Smell a Rose: A Visit with Ricky Leacock in Normandy
1528,STEPHEN HOLDEN,"Review: &#8216;The Gift,&#8217; a Stalker Thriller That Isn&#8217;t What It Seems",2015-08-07,1,2015-08-06,R,The Gift
1529,MANOHLA DARGIS,"Review: In &#8216;The Diary of a Teenage Girl,&#8217; a Hormone Bomb Waiting to Explode",2015-08-28,1,2015-08-06,R,The Diary of a Teenage Girl
1530,NICOLAS RAPOLD,Review: &#8216;God Bless the Child&#8217; Follows Neglected Siblings at Play,2015-08-07,1,2015-08-06,,God Bless the Child
1531,NEIL GENZLINGER,Review: &#8216;The Runner&#8217; Stars Nicolas Cage as a Politician After an Oil Spill,2015-08-07,0,2015-08-06,R,The Runner
1532,A. O. SCOTT,Review: &#8216;Ricki and the Flash&#8217; Puts Meryl Streep Behind a Telecaster,2015-08-07,0,2015-08-06,PG-13,Ricki and the Flash
1533,JEANNETTE CATSOULIS,Review: &#8216;Kahlil Gibran&#8217;s The Prophet&#8217; Turns Essays Into a Family Movie,2015-08-07,0,2015-08-06,PG,Kahlil Gibran's The Prophet
1534,BEN KENIGSBERG,"Review: In &#8216;Sneakerheadz,&#8217; an Obsession Over Something More Than Footwear",2015-08-07,0,2015-08-06,,Sneakerheadz
1535,MANOHLA DARGIS,"Review: In &#8216;Cop Car,&#8217; a Joyride by 2 Runaway Boys Takes a Wrong Turn",2015-08-07,0,2015-08-06,R,Cop Car
1536,ANDY WEBSTER,Review: &#8216;Homme Less&#8217; Follows a Homeless Middle-Age Model-Photographer,,0,2015-08-06,,Homme Less
1537,A. O. SCOTT,"Review: &#8216;Fantastic Four,&#8217; the Reboot (Wanted or Not)",2015-08-07,0,2015-08-06,PG-13,Fantastic Four
1538,STEPHEN HOLDEN,"Review: &#8216;Call Me Lucky,&#8217; About the Comedian-Activist Barry Crimmins",2015-08-07,0,2015-08-06,,Call Me Lucky
1539,JEANNETTE CATSOULIS,"Review: &#8216;Assassination,&#8217; With Twists and Hired Guns in 1930s Seoul and Shanghai",2015-08-07,0,2015-08-06,,Assassination
1540,NEIL GENZLINGER,"Review: In &#8216;Shaun the Sheep Movie,&#8217; a Flock Heads to the City to Find Its Farmer",2015-08-05,1,2015-08-04,PG,Shaun the Sheep Movie
1541,STEPHEN HOLDEN,Review: &#8216;Two Step&#8217; Scuffles Around With Petty Criminals,2015-07-31,1,2015-07-30,,Two Step
1542,A. O. SCOTT,Review: &#8216;The End of the Tour&#8217; Offers a Tale of Two Davids,,1,2015-07-30,R,The End of the Tour
1543,A. O. SCOTT,"Review: From Israel, &#8216;The Kindergarten Teacher,&#8217; a Drama About Poetry and Obsession",,1,2015-07-30,,The Kindergarten Teacher
1544,NICOLAS RAPOLD,Review: &#8216;Wild City&#8217; Follows Two (Very) Good Samaritans in Hong Kong,2015-07-31,0,2015-07-30,,Wild City
1545,DANIEL M. GOLD,Review: &#8216;Paulo Coelho&#8217;s Best Story&#8217; Hopscotches Through an Author&#8217;s Career,2015-07-31,0,2015-07-30,,Paulo Coelho's Best Story
1546,MANOHLA DARGIS,Review: &#8216;Mission: Impossible &mdash; Rogue Nation&#8217; With Tom Cruise and Plenty of Stunts,2015-07-31,0,2015-07-30,PG-13,Mission: Impossible - Rogue Nation
1547,JEANNETTE CATSOULIS,"Review: &#8216;Jenny&#8217;s Wedding,&#8217; a Lecture on Tolerance",2015-07-31,0,2015-07-30,PG-13,Jenny's Wedding
1548,DANIEL M. GOLD,"Review: In &#8216;That Sugar Film,&#8217; a Bitter Truth",2015-07-31,0,2015-07-30,Not Rated,That Sugar Film
1549,ANDY WEBSTER,"Review: In &#8216;Dark Awakening,&#8217; a Haunted House and Surfeit of Gore",2015-07-17,0,2015-07-30,,Dark Awakening
1550,ANDY WEBSTER,"Review: In &#8216;A Lego Brickumentary,&#8217; Master Builders Working and Playing",2015-07-31,0,2015-07-30,G,A LEGO Brickumentary
1551,BEN KENIGSBERG,"Review: ‘I Am Chris Farley,’ a Brief Life, Lived for Laughs",2015-07-27,0,2015-07-30,,I Am Chris Farley
1552,MANOHLA DARGIS,"Review: &#8216;Counting,&#8217; a Meditation in Story Shards",2015-07-31,0,2015-07-30,,Counting
1553,A. O. SCOTT,Review: &#8216;Best of Enemies&#8217; Recalls Gore Vidal and William F. Buckley Jr.&#8217;s TV Battles,2015-07-31,0,2015-07-30,R,Best of Enemies
1554,NEIL GENZLINGER,"Review: In &#8216;Vacation,&#8217; Christina Applegate and Ed Helms Travel to Walley World",2015-07-29,1,2015-07-28,R,Vacation
1555,MANOHLA DARGIS,Review: &#8216;Listen to Me Marlon&#8217; Explores Brando&#8217;s Life of Contention,2015-07-29,0,2015-07-28,,Listen to Me Marlon
1556,BEN KENIGSBERG,"Review: &#8216;Horse Money,&#8217; a Surreal Voyage Into the Past",,1,2015-07-23,Not Rated,Horse Money
1557,JEANNETTE CATSOULIS,Review: &#8216;Five Star&#8217; Casts a Cool Eye on Gang Culture,,1,2015-07-23,,Five Star
1558,STEPHEN HOLDEN,"Review: ‘Unexpected,’ a Tale of 2 Pregnancies That Unite and Divide",2015-07-24,0,2015-07-23,R,Unexpected
1559,STEPHEN HOLDEN,Review: ‘The Young Kieslowski’ Is a Sobering Comedy of Consequences,2015-07-24,0,2015-07-23,R,The Young Kieslowski
1560,MANOHLA DARGIS,Review: &#8216;The Outrageous Sophie Tucker&#8217; Recalls a Jazz Powerhouse,2015-07-24,0,2015-07-23,,The Outrageous Sophie Tucker
